SurfaceLongitude,SurfaceLatitude,BottomHoleLongitude,BottomHoleLatitude,Operator,CompletionDate,Reservoir,LateralLength_FT,ProppantIntensity_LBSPerFT,FluidIntensity_BBLPerFT,HzDistanceToNearestOffsetAtDrill,HzDistanceToNearestOffsetCurrent,VtDistanceToNearestOffsetCurrent,VtDistanceToNearestOffsetAtDrill,WellDepth,ReservoirThickness,OilInPlace,Porosity,ReservoirPressure,WaterSaturation,StructureDerivative,TotalOrganicCarbon,ClayVolume,CarbonateVolume,Maturity,TotalWellCost_USDMM,CumOil12Month,rowID,CumOil_Category
-101.731093,32.77439609,-101.7311549,32.77456811,PXD,5/19/2018,WOLFCAMP C,9722.0,2474.0,56.0,741.499,741.499,12.217,12.217,6585.407,,31044.079,0.061,4510.885,0.406,,5.985,0.176,0.302,0.942,7.8133,214171.6875,409,Medium
-101.7818815,30.85750232,-101.7819486,30.85766934,PXD,1/8/2019,WOLFCAMP D,10013.0,1858.0,55.0,2000.0,2000.0,500.0,500.0,7440.469,,13365.931,0.073,4968.2821,0.743,,2.1544,0.296,0.166,0.903,7.1743,254971.0156,300,High
-101.371779,31.68137109,-101.3718054,31.68136419,COP,12/23/2016,WOLFCAMP B,10379.0,2177.0,68.0,650.783,619.642,53.17,29.902,6661.609,305.032,8058.849,0.041,4082.2421,0.544,0.011,2.0015,0.133,0.38,0.953,6.7196,224620.7656,3342,Medium
-101.6222831,31.67856994,-101.6223487,31.67854373,CPE,3/14/2017,WOLFCAMP A,9725.0,2022.0,56.0,2000.0,724.39,12.046,500.0,5430.191,,10378.3425,0.074,2287.3307,0.616,0.013,3.2762,0.21,0.113,0.735,5.0139,335086.45,704,High
-102.5223073,32.75613744,-102.5222928,32.75600461,PXD,10/13/2018,WOLFCAMP C,7302.0,2932.0,44.0,873.659,873.659,7.476,7.476,6868.347,,14521.481,0.052,4718.9568,0.628,,2.6082,0.169,0.3,0.937,6.5355,156375.0,3163,Low
-102.207789,32.32275249,-102.2077959,32.32291896,FASKEN,1/1/2018,WOLFCAMP B,9901.0,833.0,37.0,2000.0,1030.889,27.301,500.0,6976.148,117.882,7676.417,0.052,4488.197,0.406,0.013,2.9692,0.175,0.206,0.981,4.7599,171901.2969,1326,Low
-101.9182798,31.71398755,-101.9111709,31.69179946,OVV,8/31/2015,SPRABERRY LOWER SHALE,6352.0,1489.0,52.0,1152.013,1152.013,143.121,143.121,6407.95,,18946.188,0.053,3003.6947,0.546,0.009,2.4059,0.211,0.13,0.92,3.5238,214770.0,1856,Medium
-101.9136913,32.42915382,-101.9118908,32.42890585,PXD,10/29/2017,WOLFCAMP A,9629.0,2248.0,31.0,453.576,465.305,222.658,240.985,6379.554,,16883.225,0.057,3731.8483,0.487,0.006,2.7306,0.188,0.264,0.959,6.8965,221369.0,3866,Medium
-101.2019864,31.12552498,-101.2050456,31.15119291,ENDVR,3/12/2019,WOLFCAMP B,10297.0,1605.0,42.0,248.877,248.877,14.711,14.711,6841.172,281.726,22129.955,0.053,4423.5916,0.534,0.006,2.8463,0.167,0.285,0.979,5.9313,232945.7656,3733,Medium
-102.468294,32.49881396,-102.4685733,32.49875122,FANG,7/28/2017,SPRABERRY LOWER SHALE,12984.0,1587.0,42.0,1306.99,989.09,30.777,49.204,6558.678,,22098.754,0.054,2942.9931,0.374,0.01,2.841,0.215,0.144,0.812,6.9085,279481.6875,5172,High
